trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-100.67796110789791,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-131.82654451222163,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-88.69081787814704,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-50.12670541836685,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-62.90402963131847,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-96.50360159575163,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-9.56324744681604,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-46.728299150011274,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-162.0829241121093,"{0: 18, 1: 1, 2: 0, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-97.36849347062564,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,13,-23.345891782845218,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,3,-16.43756623765101,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,-15.223868988699572,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,16,7.341785830058713,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,19.99751371354091,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,9,19.217147257618464,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,7,22.280045682491853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,34.80730218644261,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,18.04097237605911,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,36.518414347468585,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,14,13.01561255470854,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,9,22.865235697201292,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",30,12,32.76022345850992,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",30,13,32.30456086643702,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,10,18.8915251136464,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,9,-0.1325059869282046,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",30,14,30.118243913595304,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,11,16.384349896471637,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,9,18.45750176688567,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,3,37.00713449248794,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
