trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.95}",20,0,-93.01579697186693,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.65, 'e': 0.8999999999999999}",25,0,-177.51853298636692,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.65, 'e': 0.8499999999999999}",25,0,-104.70992115305458,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.65, 'e': 0.7999999999999998}",30,0,-124.46916118305654,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.65, 'e': 0.7499999999999998}",25,12,-44.582449679701455,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.65, 'e': 0.6999999999999997}",25,0,-25.202214232841847,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.65, 'e': 0.6499999999999997}",30,17,-64.06476881428834,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.65, 'e': 0.5999999999999996}",20,0,-68.44949241699524,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.65, 'e': 0.5499999999999996}",25,0,-12.099014971466444,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.65, 'e': 0.4999999999999996}",20,12,17.551463532541995,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.65, 'e': 0.4499999999999996}",25,0,20.933079987506698,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.65, 'e': 0.39999999999999963}",30,3,-20.053570529971964,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.65, 'e': 0.34999999999999964}",20,5,-35.320871958933324,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.65, 'e': 0.29999999999999966}",20,9,-3.814348695011975,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.65, 'e': 0.24999999999999967}",25,0,19.56443718988357,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.65, 'e': 0.19999999999999968}",20,0,-4.123719537595939,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.65, 'e': 0.1499999999999997}",35,8,35.30552333057357,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
