trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.40762567645315,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.64910212865374,"{0: 16, 1: 0, 2: 4, 3: 5, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-128.28589241629032,"{0: 24, 1: 5, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-117.27534556298066,"{0: 23, 1: 3, 2: 6, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.6365812810503,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.7396851869555,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.24244045148612,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.4194739937041,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.97259427052836,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.28927801374525,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.13590644932015,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-228.74552706081107,"{0: 5, 1: 6, 2: 5, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.07207904865095,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.38620371126771,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.37439094651278,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-324.9890733326871,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 7}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.69781563573694,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.37624226934488,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.039277934649846,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.4653199712623,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.44583714839305,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.50329545107996,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-208.6365136405796,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.00346085524984,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,10,-104.23333593576491,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.34444333491803,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.40235545449212,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.24344753247823,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-49.7654478066187,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.424620946290155,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
